页号,章节/方法名,方法标识符,函数签名,说明
370,设置图层状态,SetLayerStatus,"SSProcess.SetLayerStatus(layername,flags,type)","设置图层状态 Online Help 设置图层状态 SetLayerStatus 函数 SetLayerStatus 函数 设置图层状态。 SSProcess.SetLayerStatus(layername,flags,type) 参数 Layername 要设置的层名 flags 设置或取消状态"
371,设置图廓层名,SetMapBoxLayerName,SSProcess.SetMapBoxLayerName(layerName),设置图廓层名 Online Help 设置图廓层名 SetMapBoxLayerName 函数 SetMapBoxLayerName 函数 设置图廓层名。 SSProcess.SetMapBoxLayerName(layerName) 参数 layerName 层名 说明 使用此函数设置当前工程中的
372,设置分幅方式,SetMapBoxWay,SSProcess.SetMapBoxWay(way),设置分幅方式 Online Help 设置分幅方式 SetMapBoxWay 函数 SetMapBoxWay 函数 设置分幅方式。 SSProcess.SetMapBoxWay(way) 参数 way 分幅方式（ 0 ：矩形分幅； 1 ：梯形分幅； 2 ：斜分幅； 3 ：北京地籍分幅） 说明 使用此
373,设置图幅规格,SetMapRowCol,"SSProcess.SetMapRowCol(row, col)","设置图幅规格 Online Help 设置图幅规格 SetMapRowCol 函数 SetMapRowCol 函数 设置图幅规格。 SSProcess.SetMapRowCol(row, col) 参数 row 行高 ( 单位 cm) col 列宽 ( 单位 cm) 说明 该函数设置图幅规格。 示例"
374,设置地图比例尺,SetMapScale,SSProcess.SetMapScale(scale),设置地图比例尺 Online Help 设置地图比例尺 SetMapScale 函数 SetMapScale 函数 设置地图比例尺。 SSProcess.SetMapScale(scale) 参数 scale 比例尺（如： 500 ） 说明 该函数设置地图比例尺。 示例 Sub OnClick() 
375,设置数据库状态,SetMapStatus,"SSProcess.SetMapStatus(flags,type)","设置数据库状态 Online Help 设置数据库状态 SetMapStatus 函数 SetMapStatus 函数 设置数据库状态。 SSProcess.SetMapStatus(flags,type) 参数 flags 设置或取消状态 0 （取消状态）、 1 （ 设置状态） type 数据库状"
376,设置系统注记模板表,SetNotetemplateTB,SSProcess.SetNotetemplateTB(notetemplateTB),设置系统注记模板表 Online Help 设置系统注记模板表 SetNotetemplateTB 函数 SetNotetemplateTB 函数 设置系统注记模板表。 SSProcess.SetNotetemplateTB(notetemplateTB) 参数 notetemplateTB 注记分
377,设置定时器,SetTimer,"SSProcess.SetTimer(nIDEvent, nElapse)","设置定时器 Online Help 设置定时器 SetTimer 函数 SetTimer 函数 设置定时器。 SSProcess.SetTimer(nIDEvent, nElapse) 参数 nIDEvent 定时器标示 nElapse 定时时间。 说明 此函数功能为设置定时器，需与 KillTim"
378,设置未可控对象颜色状态,SetUnfilterObjColor,"SSProcess.SetUnfilterObjColor(flag, color)","设置未可控对象颜色状态 Online Help 设置未可控对象颜色状态 SetUnfilterObjColor 函数 SetUnfilterObjColor 函数 设置未可控对象颜色状态。 SSProcess.SetUnfilterObjColor(flag, color) 参数 flag 是否对不"
379,显示多列参数编辑框对话框,ShowGridEditDlg,SSProcess.ShowGridEditDlg(title),显示多列参数编辑框对话框 Online Help 显示多列参数编辑框对话框 ShowGridEditDlg 函数 ShowGridEditDlg 函数 显示多列参数编辑框对话框。 SSProcess.ShowGridEditDlg(title) 参数 title 对话框标题 说明 该函数用于显示多列
380,显示多列参数编辑框对话框,ShowGridEditDlg1,"SSProcess.ShowGridEditDlg1(title, okBtnTitle, clickOKCloseDlg, dlgWidth, dlgHeight)","显示多列参数编辑框对话框 Online Help 显示多列参数编辑框对话框 ShowGridEditDlg1 函数 ShowGridEditDlg1 函数 显示多列参数编辑框对话框。 SSProcess.ShowGridEditDlg1(title, okBtnTitle, clickOKClose"
381,显示多列参数编辑框对话框（有模）,ShowGridEditDlg2,"SSProcess.ShowGridEditDlg2(title, okBtnTitle, clickOKCloseDlg, dlgWidth, dlgHeight)","显示多列参数编辑框对话框（有模） Online Help 显示多列参数编辑框对话框（有模） ShowGridEditDlg2 函数 ShowGridEditDlg2 函数 显示多列参数编辑框对话框（有模）。 SSProcess.ShowGridEditDlg2(title, okBtnTitle, "
382,显示参数录入对话框,ShowInputParameterDlg,SSProcess.ShowInputParameterDlg(title),显示参数录入对话框 Online Help 显示参数录入对话框 ShowInputParameterDlg 函数 ShowInputParameterDlg 函数 显示参数录入对话框。 SSProcess.ShowInputParameterDlg(title) 参数 title 对话框标题 说明 
383,显示自定义参数录入对话框,ShowInputUserDefParameterDlg,"SSProcess.ShowInputUserDefParameterDlg(title, dlgTemplateName, dlgWidth, dlgHeight, colCount, titleWidth, valueWidth)",显示自定义参数录入对话框 Online Help 显示自定义参数录入对话框 ShowInputUserDefParameterDlg 函数 ShowInputUserDefParameterDlg 函数 显示自定义参数录入对话框。 SSProcess.ShowInputUserDefParamete
384,更新编码定义信息到数据库,UpdateFeatureCode,"SSProcess.UpdateFeatureCode(Code,Fileds,Values)","更新编码定义信息到数据库 Online Help 更新编码定义信息到数据库 UpdateFeatureCode 函数 UpdateFeatureCode 函数 更新编码定义信息到数据库。 SSProcess.UpdateFeatureCode(Code,Fileds,Values) 参数 Code "
385,更新注记分类信息到数据库,UpdateFontClass,SSProcess.UpdateFontClass(),更新注记分类信息到数据库 Online Help 更新注记分类信息到数据库 UpdateFontClass 函数 UpdateFontClass 函数 更新注记分类信息到数据库。 SSProcess.UpdateFontClass() 参数 说明 执行该函数，将通过选择集设定的注记分类信息更新到数据
386,写EPS工程参数,WriteEpsDBIni,"SSProcess.WriteEpsDBIni(strSection, strKey , strValue)","写EPS工程参数 Online Help 写 EPS 工程参数 WriteEpsDBIni 函数 WriteEpsDBIni 函数 写 EPS 工程参数。 SSProcess.WriteEpsDBIni(strSection, strKey , strValue) 参数 strSection 参数组"
387,写EPS Global.Ini文件参数,WriteEpsGlobalIni,"SSProcess.WriteEpsGlobalIni(strSection, strKey , strValue)",写EPS Global.Ini文件参数 Online Help 写 EPS Global.Ini 文件参数 WriteEpsGlobalIni 函数 WriteEpsGlobalIni 函数 写 EPS Global.Ini 文件参数。 SSProcess.WriteEpsGlobalIni(str
388,写EPS.Ini文件参数,WriteEpsIni,"SSProcess.WriteEpsIni(strSection, strKey , strValue)","写EPS.Ini文件参数 Online Help 写 EPS.Ini 文件参数 WriteEpsIni 函数 WriteEpsIni 函数 写 EPS.Ini 文件参数。 SSProcess.WriteEpsIni(strSection, strKey , strValue) 参数 strSecti"
389,写EPS模板参数,WriteEpsTemplateIni,"SSProcess.WriteEpsTemplateIni(strSection, strKey , strValue)","写EPS模板参数 Online Help 写 EPS 模板参数 WriteEpsTemplateIni 函数 WriteEpsTemplateIni 函数 写 EPS 模板参数。 SSProcess.WriteEpsTemplateIni(strSection, strKey , strValue)"
390,写EPS  XML文件参数,WriteEpsXMLIni,"SSProcess.WriteEpsXMLIni(nSettingFile,strSection,strKey,strValue)","写EPS XML文件参数 Online Help 写 EPS XML 文件参数 WriteEpsXMLIni 函数 WriteEpsXMLIni 函数 写 EPS XML 文件参数。 SSProcess.WriteEpsXMLIni(nSettingFile,strSection,strKey,st"
391,写自定义Ini文件参数,WritePrivateProfile,"SSProcess.WritePrivateProfile(strSection, strKey , strValue, strInIfile)","写自定义Ini文件参数 Online Help 写自定义 Ini 文件参数 WritePrivateProfile 函数 WritePrivateProfile 函数 写自定义 Ini 文件参数。 SSProcess.WritePrivateProfile(strSection, strKey , "
392,选择集操作,,,选择集操作 Online Help 选择集操作 选择集操作 清空选择条件 ClearSelectCondition 清除指定分组选择条件 ClearSelectConditionGroup 清除所有分组选择条件 ClearSelectConditionGroups 清空选择集 ClearSelect
393,清空选择条件,ClearSelectCondition,SSProcess.ClearSelectCondition(),清空选择条件 Online Help 清空选择条件 ClearSelectCondition 函数 ClearSelectCondition 函数 清空函数 SetSelectCondition 设定的选择条件。 SSProcess.ClearSelectCondition() 参数 说明 执行该函
394,清除指定分组选择条件,ClearSelectConditionGroup,SSProcess.ClearSelectConditionGroup(groupName),清除指定分组选择条件 Online Help 清除指定分组选择条件 ClearSelectConditionGroup 函数 ClearSelectConditionGroup 函数 清除函数 SetSelectConditionGroup 设定的分组选择条件。 SSProcess.ClearSel
395,清除所有分组选择条件,ClearSelectConditionGroups,SSProcess.ClearSelectConditionGroups(),清除所有分组选择条件 Online Help 清除所有分组选择条件 ClearSelectConditionGroups 函数 ClearSelectConditionGroups 函数 清空函数 SetSelectConditionGroup 设定的所有分组选择条件。 SSProcess.Clea
396,清空选择集,ClearSelection,SSProcess.ClearSelection(),清空选择集 Online Help 清空选择集 ClearSelection 函数 ClearSelection 函数 清空当前选择集中的所有对象。 SSProcess.ClearSelection() 参数 说明 执行该函数，将清空当前选择集中的所有对象 示例 Sub OnClick() SSPr
397,清空系统选择集,ClearSysSelection,SSProcess.ClearSysSelection(),清空系统选择集 Online Help 清空系统选择集 ClearSysSelection 函数 ClearSysSelection 函数 清空系统选择集。 SSProcess.ClearSysSelection() 参数 说明 执行该函数，将清空当前系统选择集的对象。 示例 Sub OnClick
398,删除选择集中的转换地物,DeleteInSelectionXGeo,SSProcess.DeleteInSelectionXGeo ( index ),删除选择集中的转换地物 Online Help 删除选择集中的转换地物 DeleteInSelectionXGeo 函数 DeleteInSelectionXGeo 函数 删除选择集中的转换地物。 SSProcess.DeleteInSelectionXGeo ( index ) 参数 index 
399,删除选择集中的转换注记,DeleteInSelectionXNote,SSProcess.DeleteInSelectionXNote (index),删除选择集中的转换注记 Online Help 删除选择集中的转换注记 DeleteInSelectionXNote 函数 DeleteInSelectionXNote 函数 删除选择集中的转换注记。 SSProcess.DeleteInSelectionXNote (index) 参数 index
400,获取多边形内选中对象的属性值,GetSelectPolygonObjAttr,"SSProcess.GetSelectPolygonObjAttr (index, attrField)",获取多边形内选中对象的属性值 Online Help 获取多边形内选中对象的属性值 GetSelectPolygonObjAttr 函数 GetSelectPolygonObjAttr 函数 获取多边形内选中对象的属性值。 SSProcess.GetSelectPolygonObjAttr (ind
401,获取多边形内选中对象的个数,GetSelectPolygonObjCount,SSProcess.GetSelectPolygonObjCount(),获取多边形内选中对象的个数 Online Help 获取多边形内选中对象的个数 GetSelectPolygonObjCount 函数 GetSelectPolygonObjCount 函数 获取多边形内选中对象的个数。 SSProcess.GetSelectPolygonObjCount() 参数
402,删除多边形内选中的指定对象,RemoveSelectPolygonObj,SSProcess.RemoveSelectPolygonObj (index),删除多边形内选中的指定对象 Online Help 删除多边形内选中的指定对象 RemoveSelectPolygonObj 函数 RemoveSelectPolygonObj 函数 删除多边形内选中的指定对象。 SSProcess.RemoveSelectPolygonObj (index) 参数
403,选择过滤,SelectFilter,SSProcess.SelectFilter(),"选择过滤 Online Help 选择过滤 SelectFilter 函数 SelectFilter 函数 根据 SetSelectCondition 设定的选择条件 , 选择对象到选择集中。 SSProcess.SelectFilter() 参数 说明 执行该函数，将根据 SetSelectCon"
404,设置选择条件,SetSelectCondition,"SSProcess.SetSelectCondition(conditionName, operateMode, conditionValue)","设置选择条件 Online Help 设置选择条件 SetSelectCondition 函数 SetSelectCondition 函数 设置选择条件。 SSProcess.SetSelectCondition(conditionName, operateMode, conditionValue)"
405,设置分组选择条件,SetSelectConditionGroup,"SSProcess.SetSelectConditionGroup( groupName, conditionName, operateMode, conditionValue )","设置分组选择条件 Online Help 设置分组选择条件 SetSelectConditionGroup 函数 SetSelectConditionGroup 函数 设置分组选择条件。 SSProcess.SetSelectConditionGroup( groupName, conditionN"
406,选择集内对象排序（从西到东，从北到南）,ClearSelection,SSProcess.GetSelGeoCount(),选择集内对象排序（从西到东，从北到南） Online Help 选择集内对象排序（从西到东，从北到南） SortSelectionObj 函数 SortSelectionObj 函数 选择集内对象排序（从西到东，从北到南）。 SSProcess. SortSelectionObj1 (rowHeig
407,选择集内对象排序（从东到西，从北到南）,SortSelectionObj1,SSProcess.SortSelectionObj1 (rowHeighte),选择集内对象排序（从东到西，从北到南） Online Help 选择集内对象排序（从东到西，从北到南） SortSelectionObj1 函数 SortSelectionObj1 函数 选择集内对象排序（从东到西，从北到南）。 SSProcess.SortSelectionObj1 (rowHei
408,选择集图形转属性,TransSelectionObjToAttr,"SSProcess.TransSelectionObjToAttr (geoID, fieldName, delObj)","选择集图形转属性 Online Help 选择集图形转属性 TransSelectionObjToAttr 函数 TransSelectionObjToAttr 函数 选择集图形转属性。 SSProcess.TransSelectionObjToAttr (geoID, fieldName, del"
409,更新当前选择到系统选择集,UpdateSysSelection,SSProcess.UpdateSysSelection( flag ),更新当前选择到系统选择集 Online Help 更新当前选择到系统选择集 UpdateSysSelection 函数 UpdateSysSelection 函数 脚本选择的对象与系统选择集的对象互转。 SSProcess.UpdateSysSelection( flag ) 参数 flag 选择集
410,坐标转换函数,,,坐标转换函数 Online Help 坐标转换 函数 坐标转换函数 经纬度转 54 系 XY 坐标 LongiLatiToxy54 经纬度转 80 系 XY 坐标 LongiLatiToxy80 经纬度转 2000 系 XY 坐标 LongiLatiToxyCGCS2000 经纬度转 80 系 XY
411,经纬度转54系XY坐标,LongiLatiToxy54,"SSProcess.LongiLatiToxy54(lon0, b, l, px, py)","经纬度转54系XY坐标 Online Help 经纬度转 54 系 XY 坐标 LongiLatiToxy54 函数 LongiLatiToxy54 函数 经纬度转 54 系 XY 坐标 SSProcess.LongiLatiToxy54(lon0, b, l, px, py) 参数 lon0 中央"
412,经纬度转80系XY坐标,LongiLatiToxy80,"SSProcess.LongiLatiToxy80(lon0, b, l, px, py)","经纬度转80系XY坐标 Online Help 经纬度转 80 系 XY 坐标 LongiLatiToxy80 函数 LongiLatiToxy80 函数 经纬度转 80 系 XY 坐标 SSProcess.LongiLatiToxy80(lon0, b, l, px, py) 参数 lon0 中央"
413,经纬度转2000系XY坐标,GetSelGeoCount,SSProcess.GetSelGeoPointCount (i),"经纬度转2000系XY坐标 Online Help 经纬度转 2000 系 XY 坐标 LongiLatiToxyCGCS2000 函数 LongiLatiToxyCGCS2000 函数 打开文件选择对话框，选择文件名。 SSProcess. LongiLatiToxyCGCS2000(lon0,b"
414,经纬度转80系XY坐标,LongiLatiToxyWGS84,"SSProcess.LongiLatiToxyWGS84 (lon0, b, l, px, py)","经纬度转80系XY坐标 Online Help 经纬度转 80 系 XY 坐标 LongiLatiToxyWGS84 函数 LongiLatiToxyWGS84 函数 经纬度转 80 系 XY 坐标 SSProcess.LongiLatiToxyWGS84 (lon0, b, l, px, py) "
415,经纬度转54系XYZ坐标,LongiLatiToxyz54,"SSProcess.LongiLatiToxyz54(lon0, b, l, h, px, py, pz)","经纬度转54系XYZ坐标 Online Help 经纬度转 54 系 XYZ 坐标 LongiLatiToxyz54 函数 LongiLatiToxyz54 函数 经纬度转 54 系 XYZ 坐标 SSProcess.LongiLatiToxyz54(lon0, b, l, h, px, py, p"
416,经纬度转80系XYZ坐标,LongiLatiToxyz80,"SSProcess.LongiLatiToxyz80 (lon0, b, l, h, px, py, pz )","经纬度转80系XYZ坐标 Online Help 经纬度转 80 系 XYZ 坐标 LongiLatiToxyz80 函数 LongiLatiToxyz80 函数 经纬度转 80 系 XYZ 坐标 SSProcess.LongiLatiToxyz80 (lon0, b, l, h, px, py, "
417,经纬度转2000系XYZ坐标,LongiLatiToxyzCGCS2000,"SSProcess.LongiLatiToxyzCGCS2000 (lon0, b, l, h, px, py, pz)",经纬度转2000系XYZ坐标 Online Help 经纬度转 2000 系 XYZ 坐标 LongiLatiToxyzCGCS2000 函数 LongiLatiToxyzCGCS2000 函数 经纬度转 2000 系 XYZ 坐标 SSProcess.LongiLatiToxyzCGCS2000 
